Start Task       : 2021-08-03-1048
Send TMS         : {"truckload_index":"5e26093c-4da6-4ae0-9116-14a66d80d1de","truckload_no":"TM21070057","tm_index":"ee7a6ee4-4520-467a-b578-28a6ea5a0e14","truckload_return_date":"2021-07-08T00:00:00","return_tote_max_xl":"20","return_tote_max_m":"1","docreturn_max":"5","return_tote_qty_xl":20,"return_tote_qty_m":1,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":5}
Send TMS Result  : False
Truckload No.    : TM21070035
Return Date.     : 7/7/2021 12:00:00 AM
Tote L Max.      : 20
Tote M Max.      : 11
Doc Max.         : 24
G Tote L.        : 20
G Tote M.        : 11
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 24
Send TMS         : {"truckload_index":"cd186c25-9c96-49c4-b864-1614a0893bca","truckload_no":"TM21070035","tm_index":"c5637af4-22b8-4cf3-9880-2cf61a2c6c40","truckload_return_date":"2021-07-07T00:00:00","return_tote_max_xl":"20","return_tote_max_m":"11","docreturn_max":"24","return_tote_qty_xl":20,"return_tote_qty_m":11,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":24}
Send TMS Result  : False
Truckload No.    : TM21070124
Return Date.     : 7/10/2021 12:00:00 AM
Tote L Max.      : 10
Tote M Max.      : 12
Doc Max.         : 24
G Tote L.        : 10
G Tote M.        : 12
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 24
Send TMS         : {"truckload_index":"e33205e9-874f-4c34-9737-184734225853","truckload_no":"TM21070124","tm_index":"b7c4f9ea-1339-4867-b17d-295b49654a92","truckload_return_date":"2021-07-10T00:00:00","return_tote_max_xl":"10","return_tote_max_m":"12","docreturn_max":"24","return_tote_qty_xl":10,"return_tote_qty_m":12,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":24}
Send TMS Result  : False
Truckload No.    : TM21070006
Return Date.     : 7/3/2021 12:00:00 AM
Tote L Max.      : 12
Tote M Max.      : 5
Doc Max.         : 11
G Tote L.        : 12
G Tote M.        : 5
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 11
Send TMS         : {"truckload_index":"a565093a-8895-4ae0-b950-1b0f9bc25de2","truckload_no":"TM21070006","tm_index":"22f1f107-81dd-4106-9c04-2cae784f74ef","truckload_return_date":"2021-07-03T00:00:00","return_tote_max_xl":"12","return_tote_max_m":"5","docreturn_max":"11","return_tote_qty_xl":12,"return_tote_qty_m":5,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":11}
Send TMS Result  : False
Truckload No.    : TM21070084
Return Date.     : 7/8/2021 12:00:00 AM
Tote L Max.      : 4
Tote M Max.      : 9
Doc Max.         : 14
G Tote L.        : 4
G Tote M.        : 9
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 14
Send TMS         : {"truckload_index":"56fd3d8d-4592-4e40-bd5b-1b4587160ab9","truckload_no":"TM21070084","tm_index":"1ccf306b-71b7-4ed1-94a3-6ef21c590537","truckload_return_date":"2021-07-08T00:00:00","return_tote_max_xl":"4","return_tote_max_m":"9","docreturn_max":"14","return_tote_qty_xl":4,"return_tote_qty_m":9,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":14}
Send TMS Result  : False
Truckload No.    : TM21070040
Return Date.     : 7/7/2021 12:00:00 AM
Tote L Max.      : 16
Tote M Max.      : 4
Doc Max.         : 12
G Tote L.        : 16
G Tote M.        : 4
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 12
Send TMS         : {"truckload_index":"b718d06c-4395-4ea9-9307-1b611a2ac5eb","truckload_no":"TM21070040","tm_index":"d725546b-b196-4f16-bf93-327f00cdf1bd","truckload_return_date":"2021-07-07T00:00:00","return_tote_max_xl":"16","return_tote_max_m":"4","docreturn_max":"12","return_tote_qty_xl":16,"return_tote_qty_m":4,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":12}
Send TMS Result  : False
Truckload No.    : TM21070058
Return Date.     : 7/7/2021 12:00:00 AM
Tote L Max.      : 14
Tote M Max.      : 5
Doc Max.         : 11
G Tote L.        : 14
G Tote M.        : 5
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 11
Send TMS         : {"truckload_index":"fc612c04-3c9c-4099-ac88-1d50a2aca19b","truckload_no":"TM21070058","tm_index":"bcae4b0d-33ed-4029-8ad3-e3d4b1fe4200","truckload_return_date":"2021-07-07T00:00:00","return_tote_max_xl":"14","return_tote_max_m":"5","docreturn_max":"11","return_tote_qty_xl":14,"return_tote_qty_m":5,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":11}
Send TMS Result  : False
Truckload No.    : TM21070004
Return Date.     : 7/3/2021 12:00:00 AM
Tote L Max.      : 7
Tote M Max.      : 6
Doc Max.         : 8
G Tote L.        : 7
G Tote M.        : 6
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 8
Send TMS         : {"truckload_index":"4752725e-27b8-4750-91a1-1f01941bb2ec","truckload_no":"TM21070004","tm_index":"9cf0226d-7c21-4f7c-9897-4271fa004b24","truckload_return_date":"2021-07-03T00:00:00","return_tote_max_xl":"7","return_tote_max_m":"6","docreturn_max":"8","return_tote_qty_xl":7,"return_tote_qty_m":6,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":8}
Send TMS Result  : False
Truckload No.    : TM21070002
Return Date.     : 7/5/2021 12:00:00 AM
Tote L Max.      : 15
Tote M Max.      : 3
Doc Max.         : 10
G Tote L.        : 15
G Tote M.        : 3
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 10
Send TMS         : {"truckload_index":"6076206d-1fc5-44f2-a51e-20bb3b4714ff","truckload_no":"TM21070002","tm_index":"c7621ad9-9b4a-48c0-9953-73531160845d","truckload_return_date":"2021-07-05T00:00:00","return_tote_max_xl":"15","return_tote_max_m":"3","docreturn_max":"10","return_tote_qty_xl":15,"return_tote_qty_m":3,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":10}
Send TMS Result  : False
Truckload No.    : TM21070048
Return Date.     : 7/8/2021 12:00:00 AM
Tote L Max.      : 10
Tote M Max.      : 6
Doc Max.         : 12
G Tote L.        : 10
G Tote M.        : 6
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 12
Send TMS         : {"truckload_index":"b99d66e1-2eef-4277-ab81-20c1b9f748ef","truckload_no":"TM21070048","tm_index":"510d884a-801b-424f-bbf7-18ecdfb9f04b","truckload_return_date":"2021-07-08T00:00:00","return_tote_max_xl":"10","return_tote_max_m":"6","docreturn_max":"12","return_tote_qty_xl":10,"return_tote_qty_m":6,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":12}
Send TMS Result  : False
Truckload No.    : TM21070012
Return Date.     : 7/5/2021 12:00:00 AM
Tote L Max.      : 15
Tote M Max.      : 9
Doc Max.         : 16
G Tote L.        : 15
G Tote M.        : 9
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 16
Send TMS         : {"truckload_index":"cd55dc8a-a10f-4d75-9e3d-255e4887ed1b","truckload_no":"TM21070012","tm_index":"5064e256-a793-43db-a51d-d1caf6d82a8d","truckload_return_date":"2021-07-05T00:00:00","return_tote_max_xl":"15","return_tote_max_m":"9","docreturn_max":"16","return_tote_qty_xl":15,"return_tote_qty_m":9,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":16}
Send TMS Result  : False
Truckload No.    : TM21070009
Return Date.     : 7/3/2021 12:00:00 AM
Tote L Max.      : 19
Tote M Max.      : 6
Doc Max.         : 19
G Tote L.        : 19
G Tote M.        : 6
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 19
Send TMS         : {"truckload_index":"5d9af438-2b2f-44bc-bf4d-287c29bde0e0","truckload_no":"TM21070009","tm_index":"fc33eb7f-5374-4dfc-907b-c2da7a7bfd50","truckload_return_date":"2021-07-03T00:00:00","return_tote_max_xl":"19","return_tote_max_m":"6","docreturn_max":"19","return_tote_qty_xl":19,"return_tote_qty_m":6,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":19}
Send TMS Result  : False
Truckload No.    : TM21070024
Return Date.     : 7/5/2021 12:00:00 AM
Tote L Max.      : 0
Tote M Max.      : 0
Doc Max.         : 2
G Tote L.        : 0
G Tote M.        : 0
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 2
Send TMS         : {"truckload_index":"cbde143b-fcd1-4b41-9080-2ab39c6f2e8e","truckload_no":"TM21070024","tm_index":"f0c7b648-a1cb-4144-bf64-3765c515b412","truckload_return_date":"2021-07-05T00:00:00","return_tote_max_xl":"0","return_tote_max_m":"0","docreturn_max":"2","return_tote_qty_xl":0,"return_tote_qty_m":0,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":2}
Send TMS Result  : False
Truckload No.    : TM21070088
Return Date.     : 7/8/2021 12:00:00 AM
Tote L Max.      : 8
Tote M Max.      : 3
Doc Max.         : 7
G Tote L.        : 8
G Tote M.        : 3
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 7
Send TMS         : {"truckload_index":"c3f348b1-51c4-43b6-8b9b-2c8105142e25","truckload_no":"TM21070088","tm_index":"bec10e31-8a15-4da5-b941-9d800907f215","truckload_return_date":"2021-07-08T00:00:00","return_tote_max_xl":"8","return_tote_max_m":"3","docreturn_max":"7","return_tote_qty_xl":8,"return_tote_qty_m":3,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":7}
Send TMS Result  : False
Truckload No.    : TM21070099
Return Date.     : 7/8/2021 12:00:00 AM
Tote L Max.      : 13
Tote M Max.      : 7
Doc Max.         : 12
G Tote L.        : 13
G Tote M.        : 7
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 12
Send TMS         : {"truckload_index":"ab2785a7-f1ec-427f-81b5-2cd213303754","truckload_no":"TM21070099","tm_index":"d78c6cf3-9de7-49c7-aac8-1b5433347d54","truckload_return_date":"2021-07-08T00:00:00","return_tote_max_xl":"13","return_tote_max_m":"7","docreturn_max":"12","return_tote_qty_xl":13,"return_tote_qty_m":7,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":12}
Send TMS Result  : False
Truckload No.    : TM21070016
Return Date.     : 7/5/2021 12:00:00 AM
Tote L Max.      : 10
Tote M Max.      : 2
Doc Max.         : 6
G Tote L.        : 10
G Tote M.        : 2
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 6
Send TMS         : {"truckload_index":"8888cd2d-9719-4173-b336-2cd7a83b7a51","truckload_no":"TM21070016","tm_index":"a7c8631b-f761-4020-b9b6-4bfdf1b425c9","truckload_return_date":"2021-07-05T00:00:00","return_tote_max_xl":"10","return_tote_max_m":"2","docreturn_max":"6","return_tote_qty_xl":10,"return_tote_qty_m":2,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":6}
Send TMS Result  : False
Truckload No.    : TM21070104
Return Date.     : 7/8/2021 12:00:00 AM
Tote L Max.      : 0
Tote M Max.      : 0
Doc Max.         : 2
G Tote L.        : 0
G Tote M.        : 0
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 2
Send TMS         : {"truckload_index":"ef69b864-e3a2-413f-b957-2f2084c955a1","truckload_no":"TM21070104","tm_index":"d699f15d-c860-4ec8-ba7e-53015e8b78b2","truckload_return_date":"2021-07-08T00:00:00","return_tote_max_xl":"0","return_tote_max_m":"0","docreturn_max":"2","return_tote_qty_xl":0,"return_tote_qty_m":0,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":2}
Send TMS Result  : False
Truckload No.    : TM21070114
Return Date.     : 7/14/2021 12:00:00 AM
Tote L Max.      : 20
Tote M Max.      : 5
Doc Max.         : 22
G Tote L.        : 20
G Tote M.        : 5
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 22
Send TMS         : {"truckload_index":"1baea22c-bb40-43d0-82de-308511834196","truckload_no":"TM21070114","tm_index":"e156a5bf-60f7-41c2-be4f-61b2352ad713","truckload_return_date":"2021-07-14T00:00:00","return_tote_max_xl":"20","return_tote_max_m":"5","docreturn_max":"22","return_tote_qty_xl":20,"return_tote_qty_m":5,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":22}
Send TMS Result  : False
Truckload No.    : TM21070053
Return Date.     : 7/7/2021 12:00:00 AM
Tote L Max.      : 6
Tote M Max.      : 2
Doc Max.         : 3
G Tote L.        : 6
G Tote M.        : 2
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 3
Send TMS         : {"truckload_index":"105e982f-6477-4afc-be74-30c8cf324881","truckload_no":"TM21070053","tm_index":"37f526b6-9684-4d3b-ad58-42243e720e52","truckload_return_date":"2021-07-07T00:00:00","return_tote_max_xl":"6","return_tote_max_m":"2","docreturn_max":"3","return_tote_qty_xl":6,"return_tote_qty_m":2,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":3}
Send TMS Result  : False
Truckload No.    : TM21070110
Return Date.     : 7/14/2021 12:00:00 AM
Tote L Max.      : 17
Tote M Max.      : 9
Doc Max.         : 21
G Tote L.        : 17
G Tote M.        : 9
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 21
Send TMS         : {"truckload_index":"e96925a8-7b95-4b83-b3e9-30d1db484e59","truckload_no":"TM21070110","tm_index":"d64a8228-ec37-407c-89d1-fc992b64aa48","truckload_return_date":"2021-07-14T00:00:00","return_tote_max_xl":"17","return_tote_max_m":"9","docreturn_max":"21","return_tote_qty_xl":17,"return_tote_qty_m":9,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":21}
Send TMS Result  : False
Truckload No.    : TM21070003
Return Date.     : 7/5/2021 12:00:00 AM
Tote L Max.      : 13
Tote M Max.      : 0
Doc Max.         : 5
G Tote L.        : 13
G Tote M.        : 0
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 5
Send TMS         : {"truckload_index":"56046696-d94b-4484-981a-30edc3ef5650","truckload_no":"TM21070003","tm_index":"3ad2bb46-f0e8-4699-a819-803d0a57fcaf","truckload_return_date":"2021-07-05T00:00:00","return_tote_max_xl":"13","return_tote_max_m":"0","docreturn_max":"5","return_tote_qty_xl":13,"return_tote_qty_m":0,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":5}
Send TMS Result  : False
Truckload No.    : TM21070013
Return Date.     : 7/5/2021 12:00:00 AM
Tote L Max.      : 9
Tote M Max.      : 6
Doc Max.         : 9
G Tote L.        : 9
G Tote M.        : 6
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 9
Send TMS         : {"truckload_index":"431a0c8f-62d5-4833-8c6e-33bbd1ec2238","truckload_no":"TM21070013","tm_index":"0aed6514-a632-47e6-82e3-fdfe314dc945","truckload_return_date":"2021-07-05T00:00:00","return_tote_max_xl":"9","return_tote_max_m":"6","docreturn_max":"9","return_tote_qty_xl":9,"return_tote_qty_m":6,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":9}
Send TMS Result  : False
Truckload No.    : TM21070103
Return Date.     : 7/10/2021 12:00:00 AM
Tote L Max.      : 12
Tote M Max.      : 2
Doc Max.         : 6
G Tote L.        : 12
G Tote M.        : 2
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 6
Send TMS         : {"truckload_index":"ad81e7df-8d79-4367-beae-35e895c19102","truckload_no":"TM21070103","tm_index":"88f9dae8-2d89-4a11-8300-c1ef2938dbf5","truckload_return_date":"2021-07-10T00:00:00","return_tote_max_xl":"12","return_tote_max_m":"2","docreturn_max":"6","return_tote_qty_xl":12,"return_tote_qty_m":2,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":6}
Send TMS Result  : False
Truckload No.    : TM21070034
Return Date.     : 7/8/2021 12:00:00 AM
Tote L Max.      : 17
Tote M Max.      : 11
Doc Max.         : 24
G Tote L.        : 17
G Tote M.        : 11
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 24
Send TMS         : {"truckload_index":"a97de6ee-2766-4533-b446-39e6f6ca1f0b","truckload_no":"TM21070034","tm_index":"757dc769-2f30-4328-ac79-b4bbfe2d918f","truckload_return_date":"2021-07-08T00:00:00","return_tote_max_xl":"17","return_tote_max_m":"11","docreturn_max":"24","return_tote_qty_xl":17,"return_tote_qty_m":11,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":24}
Send TMS Result  : False
Truckload No.    : TM21070041
Return Date.     : 7/7/2021 12:00:00 AM
Tote L Max.      : 12
Tote M Max.      : 7
Doc Max.         : 10
G Tote L.        : 12
G Tote M.        : 7
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 10
Send TMS         : {"truckload_index":"24ed0780-2b7f-4114-b426-3c6371f137e0","truckload_no":"TM21070041","tm_index":"1d1cabd8-2b57-454f-9774-857cc662fee3","truckload_return_date":"2021-07-07T00:00:00","return_tote_max_xl":"12","return_tote_max_m":"7","docreturn_max":"10","return_tote_qty_xl":12,"return_tote_qty_m":7,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":10}
Send TMS Result  : False
Truckload No.    : TM21070082
Return Date.     : 7/9/2021 12:00:00 AM
Tote L Max.      : 10
Tote M Max.      : 4
Doc Max.         : 11
G Tote L.        : 10
G Tote M.        : 4
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 11
Send TMS         : {"truckload_index":"e3585a1d-5899-4037-8077-3f121879fde4","truckload_no":"TM21070082","tm_index":"e1c2d614-1d29-4187-969e-1355d1adb343","truckload_return_date":"2021-07-09T00:00:00","return_tote_max_xl":"10","return_tote_max_m":"4","docreturn_max":"11","return_tote_qty_xl":10,"return_tote_qty_m":4,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":11}
Send TMS Result  : False
Truckload No.    : TM21070115
Return Date.     : 7/9/2021 12:00:00 AM
Tote L Max.      : 30
Tote M Max.      : 11
Doc Max.         : 23
G Tote L.        : 30
G Tote M.        : 11
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 23
Send TMS         : {"truckload_index":"70f4791e-e7b9-4aa2-8620-447306be8ce4","truckload_no":"TM21070115","tm_index":"eaac7e6b-3f9c-47da-9b51-07cf1dccc03b","truckload_return_date":"2021-07-09T00:00:00","return_tote_max_xl":"30","return_tote_max_m":"11","docreturn_max":"23","return_tote_qty_xl":30,"return_tote_qty_m":11,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":23}
Send TMS Result  : False
Truckload No.    : TM21070014
Return Date.     : 7/3/2021 12:00:00 AM
Tote L Max.      : 6
Tote M Max.      : 0
Doc Max.         : 2
G Tote L.        : 6
G Tote M.        : 0
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 2
Send TMS         : {"truckload_index":"595f0ff3-b01f-4da4-adfa-47518b522330","truckload_no":"TM21070014","tm_index":"4768d0eb-3950-4cd0-ab70-11056573dc33","truckload_return_date":"2021-07-03T00:00:00","return_tote_max_xl":"6","return_tote_max_m":"0","docreturn_max":"2","return_tote_qty_xl":6,"return_tote_qty_m":0,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":2}
Send TMS Result  : False
Truckload No.    : TM21070074
Return Date.     : 7/8/2021 12:00:00 AM
Tote L Max.      : 19
Tote M Max.      : 6
Doc Max.         : 16
G Tote L.        : 19
G Tote M.        : 6
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 16
Send TMS         : {"truckload_index":"06b18627-dbda-4c14-95a5-499fa7f3c50e","truckload_no":"TM21070074","tm_index":"56b5b2f8-a5e5-4ed0-9ff5-7ecb22d1e104","truckload_return_date":"2021-07-08T00:00:00","return_tote_max_xl":"19","return_tote_max_m":"6","docreturn_max":"16","return_tote_qty_xl":19,"return_tote_qty_m":6,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":16}
Send TMS Result  : False
Truckload No.    : TM21070121
Return Date.     : 7/9/2021 12:00:00 AM
Tote L Max.      : 10
Tote M Max.      : 6
Doc Max.         : 15
G Tote L.        : 10
G Tote M.        : 6
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 15
Send TMS         : {"truckload_index":"bffa5f59-2c2e-4f87-9bad-4c6a5bc5ca00","truckload_no":"TM21070121","tm_index":"9790b7f2-4782-4548-acd6-c3278f5f3ff0","truckload_return_date":"2021-07-09T00:00:00","return_tote_max_xl":"10","return_tote_max_m":"6","docreturn_max":"15","return_tote_qty_xl":10,"return_tote_qty_m":6,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":15}
Send TMS Result  : False
Truckload No.    : TM21070112
Return Date.     : 7/14/2021 12:00:00 AM
Tote L Max.      : 8
Tote M Max.      : 5
Doc Max.         : 13
G Tote L.        : 8
G Tote M.        : 5
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 13
Send TMS         : {"truckload_index":"c856af46-82c3-4182-a3b8-4e38471d7209","truckload_no":"TM21070112","tm_index":"6b5c5221-6cd5-48d3-ac37-076fa0890521","truckload_return_date":"2021-07-14T00:00:00","return_tote_max_xl":"8","return_tote_max_m":"5","docreturn_max":"13","return_tote_qty_xl":8,"return_tote_qty_m":5,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":13}
Send TMS Result  : False
Truckload No.    : TM21070056
Return Date.     : 7/7/2021 12:00:00 AM
Tote L Max.      : 8
Tote M Max.      : 1
Doc Max.         : 2
G Tote L.        : 8
G Tote M.        : 1
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 2
Send TMS         : {"truckload_index":"1e1eec01-ac75-4723-ac61-5189bf198641","truckload_no":"TM21070056","tm_index":"a6daae41-2a26-4258-82f6-c079e38d920a","truckload_return_date":"2021-07-07T00:00:00","return_tote_max_xl":"8","return_tote_max_m":"1","docreturn_max":"2","return_tote_qty_xl":8,"return_tote_qty_m":1,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":2}
Send TMS Result  : False
Truckload No.    : TM21070098
Return Date.     : 7/8/2021 12:00:00 AM
Tote L Max.      : 13
Tote M Max.      : 6
Doc Max.         : 12
G Tote L.        : 13
G Tote M.        : 6
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 12
